0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CLIMATE,"San Mateo, California",United States,"Fremont, California","Palo Alto, California","San Francisco, California","Sacramento, California","New York, New York","Providence, Rhode Island","Worcester, Massachusetts","Concord, New Hampshire","Boston, Massachusetts","Burlington, Vermont","Tampa, Florida","Madison, Wisconsin","Cleveland, Ohio","Washington, District of Columbia","Chapel Hill, North Carolina","Philadelphia, Pennsylvania"
Rainfall (in.),18.8,36.5,14.5,16.6,20.1,17.2,46.4,44.9,44.8,37.2,45.3,33.8,47.4,30.7,37.2,43.4,46.2,43.8
Snowfall (in.),0,25,0,0,0,0,23.6,35.4,57.8,63.7,48.1,75.3,0,38.1,57.7,13.2,5.3,19.8
Precipitation Days,59,100,55,56,64,57,113,124,127,125,120,152,106,114,156,115,118,119
Sunny Days,265,205,264,261,259,269,224,200,197,197,200,157,246,187,166,203,216,207
Avg. July High,77,86.5,77,78,71,93,86,82,81,82,84,80,90,82,83,87,89,88
Avg. Jan. Low,41.7,20.5,41,38.6,42.4,37.9,25.8,20.5,16.6,10.4,18.9,8.8,50.8,10.8,19.4,26.3,27.9,25.8
Comfort Index (higher=better),64,44,66,52,75,53,45,51,51,55,51,56,26,47,50,41,35,44
UV Index,4.9,4.3,5.4,5.1,5.4,5.2,3.8,3.5,3.3,3.2,3.4,3,6.9,3.3,3.7,4.1,4.5,3.8
Elevation ft.,120,"1,443",60,111,336,22,50,63,553,317,60,167,26,868,640,97,376,97
